sub,cond,age,age_group,imputed,top_speed,0.1,0.15,0.2,0.25,0.3
6001,complete,5.34,5yrold,0,0.2,0.8571428571428571,0.75,1.0,1.0,1.0
6004,complete,5.06,5yrold,0,0.2,0.8333333333333334,1.0,0.75,1.0,1.0
6007,complete,5.25,5yrold,0,0.2,0.8571428571428571,0.7,0.75,1.0,1.0
6010,complete,5.54,5yrold,0,0.2,0.8,0.8,1.0,0.6,1.0
6013,complete,5.79,5yrold,0,0.2,0.8823529411764706,1.0,1.0,0.8,1.0
6015,complete,4.48,4yrold,0,0.2,0.7894736842105263,1.0,1.0,1.0,1.0
6021,complete,4.57,4yrold,0,0.2,0.9375,0.8333333333333334,1.0,1.0,1.0
6024,complete,4.39,4yrold,0,0.2,0.6428571428571429,0.75,1.0,1.0,1.0
6027,complete,4.12,4yrold,1,0.15,0.4079813445534463,0.4166666666666667,0.5555555555555556,1.0,0.6666666666666666
6030,complete,3.96,3yrold,0,0.2,0.6666666666666666,0.7777777777777778,1.0,0.75,1.0
6033,complete,3.41,3yrold,0,0.2,0.7142857142857143,0.75,0.5714285714285714,1.0,1.0
6036,complete,3.05,3yrold,0,0.2,0.75,1.0,1.0,0.8333333333333334,1.0
6039,complete,3.95,3yrold,0,0.2,0.5,0.7,0.8333333333333334,1.0,0.5714285714285714
6042,complete,3.85,3yrold,0,0.2,0.8461538461538461,0.75,1.0,1.0,0.6666666666666666
6046,complete,5.02,5yrold,0,0.2,1.0,1.0,1.0,1.0,0.75
6049,complete,5.72,5yrold,0,0.2,0.8421052631578947,1.0,1.0,1.0,1.0
6052,complete,5.16,5yrold,0,0.2,0.8,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0
6055,complete,5.87,5yrold,0,0.2,1.0,0.8,1.0,1.0,1.0
6058,complete,5.38,5yrold,0,0.2,0.8,0.7142857142857143,1.0,1.0,1.0
6060,complete,4.54,4yrold,0,0.2,0.8461538461538461,0.7777777777777778,1.0,1.0,1.0
6063,complete,4.99,4yrold,0,0.2,0.8,1.0,1.0,0.7142857142857143,1.0
6066,complete,4.33,4yrold,0,0.2,0.6428571428571429,1.0,1.0,0.75,1.0
6069,complete,4.5,4yrold,0,0.2,0.631578947368421,1.0,1.0,1.0,1.0
6072,complete,4.58,4yrold,0,0.2,0.5882352941176471,1.0,1.0,0.8,1.0
6075,complete,3.64,3yrold,0,0.2,0.6875,0.75,0.8,1.0,1.0
6078,complete,3.85,3yrold,0,0.2,0.6875,1.0,0.6666666666666666,1.0,1.0
6081,complete,3.46,3yrold,0,0.2,0.5,0.625,1.0,0.8,1.0
6084,complete,3.37,3yrold,1,0.1,0.4079813445534463,0.4079813445534463,0.42857142857142855,0.6428571428571429,0.5
6091,complete,5.54,5yrold,0,0.2,0.8947368421052632,1.0,1.0,1.0,1.0
6094,complete,5.15,5yrold,0,0.2,0.4444444444444444,0.6923076923076923,1.0,1.0,1.0
6097,complete,5.63,5yrold,0,0.2,0.8,1.0,1.0,0.8,0.75
6100,complete,5.54,5yrold,0,0.2,0.9473684210526315,1.0,1.0,1.0,1.0
6103,complete,5.52,5yrold,0,0.2,1.0,0.75,1.0,1.0,0.6666666666666666
6105,complete,4.53,4yrold,0,0.2,0.9285714285714286,1.0,0.7142857142857143,0.75,1.0
6108,complete,4.87,4yrold,1,0.1,0.4090282347705316,0.4090282347705316,0.625,0.625,0.5454545454545454
6114,complete,4.21,4yrold,0,0.2,0.5263157894736842,1.0,1.0,1.0,1.0
6117,complete,4.41,4yrold,1,0.05,0.4079813445534463,0.4079813445534463,0.4079813445534463,0.5384615384615384,0.5882352941176471
6120,complete,3.11,3yrold,1,0.15,0.4124623780935183,1.0,0.6,1.0,0.6363636363636364
6126,complete,5.94,5yrold,1,0.15,0.4090282347705316,0.5,0.7142857142857143,0.6666666666666666,0.6666666666666666
6129,complete,3.87,3yrold,0,0.2,0.8333333333333334,1.0,0.75,0.7142857142857143,0.75
6132,complete,3.9,3yrold,0,0.2,0.7692307692307693,0.75,1.0,0.75,1.0
60972,complete,5.13,5yrold,0,0.2,0.8421052631578947,1.0,1.0,1.0,1.0
