sub,cond,age,age_group,imputed,top_speed,0.1,0.15,0.2,0.25,0.3
6002,perturbed,5.09,5yrold,0,0.2,0.6842105263157895,1.0,1.0,1.0,1.0
6005,perturbed,5.49,5yrold,0,0.2,1.0,1.0,1.0,0.8333333333333334,1.0
6011,perturbed,5.38,5yrold,0,0.2,0.5714285714285714,1.0,0.625,1.0,1.0
6014,perturbed,5.47,5yrold,0,0.2,0.8333333333333334,1.0,0.75,1.0,1.0
6016,perturbed,4.19,4yrold,0,0.2,0.7647058823529411,1.0,1.0,1.0,0.75
6022,perturbed,4.73,4yrold,0,0.2,1.0,0.7777777777777778,0.5333333333333333,1.0,1.0
6025,perturbed,4.54,4yrold,0,0.2,0.8888888888888888,0.8333333333333334,0.8,0.75,1.0
6028,perturbed,4.52,4yrold,0,0.2,0.9444444444444444,1.0,0.75,1.0,1.0
6031,perturbed,3.73,3yrold,0,0.2,0.6666666666666666,0.5555555555555556,0.8,0.8,0.625
6037,perturbed,3.06,3yrold,0,0.0,,,,,0.5
6037,perturbed,3.06,3yrold,1,0.0,0.407152330911474,0.407152330911474,0.407152330911474,0.407152330911474,
6040,perturbed,3.53,3yrold,0,0.1,,,0.625,0.5714285714285714,0.75
6040,perturbed,3.53,3yrold,1,0.1,0.4105144546016004,0.4105144546016004,,,
6043,perturbed,4.25,4yrold,0,0.2,0.6923076923076923,0.75,1.0,0.6,0.6
6047,perturbed,5.74,5yrold,0,0.2,0.8666666666666667,0.7142857142857143,1.0,1.0,1.0
6050,perturbed,5.9,5yrold,0,0.2,0.7142857142857143,0.8333333333333334,0.8,1.0,1.0
6053,perturbed,5.95,5yrold,0,0.2,1.0,0.7142857142857143,0.7,0.7777777777777778,1.0
6056,perturbed,5.72,5yrold,0,0.2,0.8421052631578947,1.0,1.0,1.0,1.0
6059,perturbed,5.77,5yrold,0,0.2,0.8333333333333334,1.0,0.8,0.8,0.6
6061,perturbed,4.52,4yrold,0,0.2,0.6363636363636364,0.75,0.6666666666666666,1.0,1.0
6064,perturbed,4.61,4yrold,0,0.2,0.75,0.6666666666666666,0.7142857142857143,1.0,1.0
6067,perturbed,4.83,4yrold,0,0.2,0.5882352941176471,1.0,1.0,1.0,0.75
6070,perturbed,4.69,4yrold,0,0.2,0.625,0.6666666666666666,1.0,0.8333333333333334,0.75
