sub,cond,age,age_group,imputed,top_speed,0.1,0.15,0.2,0.25,0.3
6056,perturbed,5.72,5yrold,0,0.2,0.8421052631578947,1.0,1.0,1.0,1.0
6057,deleted,5.57,5yrold,0,0.15,,0.5555555555555556,0.75,0.6363636363636364,1.0
6057,deleted,5.57,5yrold,1,0.15,0.4124623780935182,,,,
6058,complete,5.38,5yrold,0,0.2,0.8,0.7142857142857143,1.0,1.0,1.0
6059,perturbed,5.77,5yrold,0,0.2,0.8333333333333334,1.0,0.8,0.8,0.6
6060,complete,4.54,4yrold,0,0.2,0.8461538461538461,0.7777777777777778,1.0,1.0,1.0
6061,perturbed,4.52,4yrold,0,0.2,0.6363636363636364,0.75,0.6666666666666666,1.0,1.0
6062,deleted,4.8,4yrold,0,0.2,0.75,0.8333333333333334,0.7,1.0,0.6666666666666666
6063,complete,4.99,4yrold,0,0.2,0.8,1.0,1.0,0.7142857142857143,1.0
6064,perturbed,4.61,4yrold,0,0.2,0.75,0.6666666666666666,0.7142857142857143,1.0,1.0
6065,deleted,4.84,4yrold,0,0.2,1.0,0.7142857142857143,1.0,0.5714285714285714,0.6
6066,complete,4.33,4yrold,0,0.2,0.6428571428571429,1.0,1.0,0.75,1.0
6067,perturbed,4.83,4yrold,0,0.2,0.5882352941176471,1.0,1.0,1.0,0.75
6068,deleted,4.3,4yrold,0,0.2,0.5384615384615384,0.5714285714285714,1.0,0.75,0.6666666666666666
6069,complete,4.5,4yrold,0,0.2,0.631578947368421,1.0,1.0,1.0,1.0
6070,perturbed,4.69,4yrold,0,0.2,0.625,0.6666666666666666,1.0,0.8333333333333334,0.75
6071,deleted,4.51,4yrold,0,0.2,0.8571428571428571,0.6,0.75,1.0,0.6666666666666666
6072,complete,4.58,4yrold,0,0.2,0.5882352941176471,1.0,1.0,0.8,1.0
6073,perturbed,4.96,4yrold,0,0.2,0.5,0.6666666666666666,1.0,1.0,1.0
6074,deleted,4.14,4yrold,0,0.2,0.6666666666666666,0.375,0.625,0.8333333333333334,1.0
6075,complete,3.64,3yrold,0,0.2,0.6875,0.75,0.8,1.0,1.0
6078,complete,3.85,3yrold,0,0.2,0.6875,1.0,0.6666666666666666,1.0,1.0
6079,perturbed,3.85,3yrold,0,0.1,,,0.5,0.6,0.6666666666666666
6079,perturbed,3.85,3yrold,1,0.1,0.4079813445534463,0.4079813445534463,,,
6080,deleted,3.88,3yrold,0,0.1,,,0.4545454545454545,0.5882352941176471,1.0
6080,deleted,3.88,3yrold,1,0.1,0.4079813445534463,0.4079813445534463,,,
6081,complete,3.46,3yrold,0,0.2,0.5,0.625,1.0,0.8,1.0
6082,perturbed,3.72,3yrold,0,0.2,0.8571428571428571,1.0,0.5714285714285714,0.75,1.0
6083,deleted,3.99,3yrold,0,0.05,,,,0.5909090909090909,0.625
6083,deleted,3.99,3yrold,1,0.05,0.4090282347705316,0.4090282347705316,0.4090282347705316,,
6084,complete,3.37,3yrold,0,0.1,,,0.4285714285714285,0.6428571428571429,0.5
6084,complete,3.37,3yrold,1,0.1,0.4079813445534463,0.4079813445534463,,,
6085,perturbed,3.99,3yrold,0,0.2,0.4285714285714285,0.625,1.0,1.0,1.0
6086,deleted,3.77,3yrold,0,0.05,,,,0.625,0.5263157894736842
6086,deleted,3.77,3yrold,1,0.05,0.4079813445534463,0.4079813445534463,0.4079813445534463,,
6088,perturbed,3.28,3yrold,0,0.2,0.9,0.75,0.6666666666666666,0.6,0.6
6089,deleted,3.06,3yrold,0,0.1,,,0.5263157894736842,0.6666666666666666,1.0
6089,deleted,3.06,3yrold,1,0.1,0.4090282347705316,0.4090282347705316,,,
6090,deleted,5.91,5yrold,0,0.15,,0.5,0.5,0.5833333333333334,1.0
6090,deleted,5.91,5yrold,1,0.15,0.4079813445534463,,,,
6091,complete,5.54,5yrold,0,0.2,0.8947368421052632,1.0,1.0,1.0,1.0
6092,perturbed,5.54,5yrold,0,0.2,0.9473684210526316,1.0,1.0,1.0,1.0
6093,deleted,5.56,5yrold,0,0.2,0.75,1.0,0.75,0.6,1.0
6094,complete,5.15,5yrold,0,0.2,0.4444444444444444,0.6923076923076923,1.0,1.0,1.0
6095,perturbed,5.15,5yrold,0,0.2,0.6923076923076923,0.8,1.0,0.8333333333333334,0.6666666666666666
6097,complete,5.63,5yrold,0,0.2,0.8,1.0,1.0,0.8,0.75
6098,perturbed,5.52,5yrold,0,0.2,0.9333333333333332,1.0,1.0,0.8333333333333334,0.6666666666666666
6099,deleted,5.38,5yrold,0,0.2,0.6111111111111112,0.75,1.0,1.0,1.0
6100,complete,5.54,5yrold,0,0.2,0.9473684210526316,1.0,1.0,1.0,1.0
6101,perturbed,5.05,5yrold,0,0.2,0.5625,1.0,1.0,0.8333333333333334,1.0
6102,deleted,5.6,5yrold,0,0.2,0.625,0.6,1.0,0.7142857142857143,1.0
6103,complete,5.52,5yrold,0,0.2,1.0,0.75,1.0,1.0,0.6666666666666666
6104,perturbed,5.71,5yrold,0,0.2,0.8571428571428571,1.0,1.0,1.0,0.7142857142857143
6105,complete,4.53,4yrold,0,0.2,0.9285714285714286,1.0,0.7142857142857143,0.75,1.0
6106,perturbed,4.64,4yrold,0,0.2,0.6428571428571429,0.75,1.0,1.0,1.0
6107,deleted,4.9,4yrold,0,0.2,1.0,0.6666666666666666,1.0,0.6666666666666666,0.8
6108,complete,4.87,4yrold,0,0.1,,,0.625,0.625,0.5454545454545454
6108,complete,4.87,4yrold,1,0.1,0.4090282347705316,0.4090282347705316,,,
6109,perturbed,4.68,4yrold,0,0.2,0.8888888888888888,1.0,1.0,1.0,0.6666666666666666
6110,deleted,4.12,4yrold,0,0.2,0.6,1.0,0.7142857142857143,0.5454545454545454,0.75
6112,perturbed,4.44,4yrold,0,0.2,0.5,0.8333333333333334,1.0,1.0,0.75
6113,deleted,4.87,4yrold,0,0.2,0.6666666666666666,1.0,1.0,0.5555555555555556,0.5833333333333334
6114,complete,4.21,4yrold,0,0.2,0.5263157894736842,1.0,1.0,1.0,1.0
6115,perturbed,4.01,4yrold,0,0.2,1.0,1.0,1.0,0.5555555555555556,0.75
6116,deleted,4.23,4yrold,0,0.2,0.75,0.75,0.8,0.7142857142857143,1.0
6117,complete,4.41,4yrold,0,0.05,,,,0.5384615384615384,0.5882352941176471
6117,complete,4.41,4yrold,1,0.05,0.4079813445534463,0.4079813445534463,0.4079813445534463,,
6118,perturbed,4.38,4yrold,0,0.2,0.7333333333333333,0.75,1.0,0.8,0.6666666666666666
6119,deleted,3.95,3yrold,0,0.2,0.7777777777777778,0.6666666666666666,0.5714285714285714,0.75,0.5
6120,complete,3.11,3yrold,0,0.15,,1.0,0.6,1.0,0.6363636363636364
6120,complete,3.11,3yrold,1,0.15,0.4124623780935183,,,,
6121,perturbed,3.58,3yrold,0,0.2,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666
6124,perturbed,3.83,3yrold,0,0.15,,0.5833333333333334,0.6923076923076923,1.0,1.0
6124,perturbed,3.83,3yrold,1,0.15,0.4149037056603237,,,,
6126,complete,5.94,5yrold,0,0.15,,0.5,0.7142857142857143,0.6666666666666666,0.6666666666666666
6126,complete,5.94,5yrold,1,0.15,0.4090282347705316,,,,
6128,deleted,3.13,3yrold,0,0.15,,0.8333333333333334,0.625,0.75,0.5833333333333334
6128,deleted,3.13,3yrold,1,0.15,0.4124623780935183,,,,
6129,complete,3.87,3yrold,0,0.2,0.8333333333333334,1.0,0.75,0.7142857142857143,0.75
6130,perturbed,3.35,3yrold,0,0.1,,,1.0,0.8,0.5
6130,perturbed,3.35,3yrold,1,0.1,0.4079813445534463,0.4079813445534463,,,
6131,deleted,3.64,3yrold,0,0.05,,,,0.5,0.4545454545454545
6131,deleted,3.64,3yrold,1,0.05,0.4073588888293798,0.4073588888293798,0.4073588888293798,,
6132,complete,3.9,3yrold,0,0.2,0.7692307692307693,0.75,1.0,0.75,1.0
6133,perturbed,3.37,3yrold,0,0.2,0.6875,0.8333333333333334,1.0,1.0,1.0
6135,deleted,3.2,3yrold,0,0.2,0.8,0.75,0.75,0.6666666666666666,0.5
6136,deleted,4.77,4yrold,0,0.2,0.5,1.0,1.0,0.6,0.7142857142857143
6137,perturbed,3.99,3yrold,0,0.2,0.8421052631578947,1.0,1.0,1.0,1.0
6138,perturbed,4.52,4yrold,0,0.2,0.8571428571428571,1.0,0.7142857142857143,0.8333333333333334,0.5714285714285714
60682,deleted,4.3,4yrold,0,0.2,0.6842105263157895,1.0,1.0,1.0,1.0
60972,complete,5.13,5yrold,0,0.2,0.8421052631578947,1.0,1.0,1.0,1.0
